Node	Label
§ 29.613   Material strength properties and design values.	29
§ 29.619   Special factors.	29
§ 29.621   Casting factors.	29
§ 29.623   Bearing factors.	29
§ 29.625   Fitting factors.	29
§ 29.629   Flutter and divergence.	29
§ 29.631   Bird strike.	29
§ 29.653   Pressure venting and drainage of rotor blades.	29
§ 29.659   Mass balance.	29
§ 29.661   Rotor blade clearance.	29
§ 29.663   Ground resonance prevention means.	29
§ 29.671   General.	29
§ 29.672   Stability augmentation, automatic, and power-operated systems.	29
§ 29.673   Primary flight controls.	29
§ 29.674   Interconnected controls.	29
§ 29.675   Stops.	29
§ 29.679   Control system locks.	29
§ 29.681   Limit load static tests.	29
§ 29.683   Operation tests.	29
§ 29.685   Control system details.	29
§ 29.687   Spring devices.	29
§ 29.691   Autorotation control mechanism.	29
§ 29.695   Power boost and power-operated control system.	29
§ 29.723   Shock absorption tests.	29
§ 29.725   Limit drop test.	29
§ 29.727   Reserve energy absorption drop test.	29
§ 29.729   Retracting mechanism.	29
§ 29.731   Wheels.	29
§ 29.733   Tires.	29
§ 29.735   Brakes.	29
§ 29.737   Skis.	29
§ 29.751   Main float buoyancy.	29
§ 29.753   Main float design.	29
§ 29.755   Hull buoyancy.	29
§ 29.757   Hull and auxiliary float strength.	29
§ 29.771   Pilot compartment.	29
§ 29.773   Pilot compartment view.	29
§ 29.775   Windshields and windows.	29
§ 29.777   Cockpit controls.	29
§ 29.779   Motion and effect of cockpit controls.	29
§ 29.783   Doors.	29
§ 29.785   Seats, berths, litters, safety belts, and harnesses.	29
§ 29.787   Cargo and baggage compartments.	29
§ 29.801   Ditching.	29
§ 29.803   Emergency evacuation.	29
§ 29.805   Flight crew emergency exits.	29
§ 29.807   Passenger emergency exits.	29
§ 29.809   Emergency exit arrangement.	29
§ 29.811   Emergency exit marking.	29
§ 29.812   Emergency lighting.	29
§ 29.813   Emergency exit access.	29
§ 29.815   Main aisle width.	29
§ 29.831   Ventilation.	29
§ 29.833   Heaters.	29
§ 29.851   Fire extinguishers.	29
§ 29.853   Compartment interiors.	29
§ 29.855   Cargo and baggage compartments.	29
§ 29.859   Combustion heater fire protection.	29
§ 29.861   Fire protection of structure, controls, and other parts.	29
§ 29.863   Flammable fluid fire protection.	29
§ 29.865   External loads.	29
§ 29.871   Leveling marks.	29
§ 29.873   Ballast provisions.	29
§ 29.901   Installation.	29
§ 29.903   Engines.	29
§ 29.907   Engine vibration.	29
§ 29.908   Cooling fans.	29
§ 29.917   Design.	29
§ 29.921   Rotor brake.	29
§ 29.923   Rotor drive system and control mechanism tests.	29
§ 29.927   Additional tests.	29
§ 29.931   Shafting critical speed.	29
§ 29.935   Shafting joints.	29
§ 29.939   Turbine engine operating characteristics.	29
§ 29.951   General.	29
§ 29.952   Fuel system crash resistance.	29
§ 29.953   Fuel system independence.	29
§ 29.954   Fuel system lightning protection.	29
§ 29.955   Fuel flow.	29
§ 29.957   Flow between interconnected tanks.	29
§ 29.959   Unusable fuel supply.	29
§ 29.961   Fuel system hot weather operation.	29
§ 29.963   Fuel tanks: general.	29
§ 29.965   Fuel tank tests.	29
§ 29.967   Fuel tank installation.	29
§ 29.969   Fuel tank expansion space.	29
§ 29.971   Fuel tank sump.	29
§ 29.973   Fuel tank filler connection.	29
§ 29.975   Fuel tank vents and carburetor vapor vents.	29
§ 29.977   Fuel tank outlet.	29
§ 29.979   Pressure refueling and fueling provisions below fuel level.	29
§ 29.991   Fuel pumps.	29
§ 29.993   Fuel system lines and fittings.	29
§ 29.995   Fuel valves.	29
§ 29.997   Fuel strainer or filter.	29
§ 29.999   Fuel system drains.	29
§ 29.1001   Fuel jettisoning.	29
§ 29.1011   Engines: general.	29
§ 29.1013   Oil tanks.	29
§ 29.1015   Oil tank tests.	29
§ 29.1017   Oil lines and fittings.	29
§ 29.1019   Oil strainer or filter.	29
§ 29.1021   Oil system drains.	29
§ 29.1023   Oil radiators.	29
§ 29.1025   Oil valves.	29
§ 29.1027   Transmission and gearboxes: general.	29
§ 29.1041   General.	29
§ 29.1043   Cooling tests.	29
§ 29.1045   Climb cooling test procedures.	29
§ 29.1047   Takeoff cooling test procedures.	29
§ 29.1049   Hovering cooling test procedures.	29
§ 29.1091   Air induction.	29
§ 29.1093   Induction system icing protection.	29
§ 29.1101   Carburetor air preheater design.	29
§ 29.1103   Induction systems ducts and air duct systems.	29
§ 29.1105   Induction system screens.	29
§ 29.1107   Inter-coolers and after-coolers.	29
§ 29.1109   Carburetor air cooling.	29
§ 29.1121   General.	29
§ 29.1123   Exhaust piping.	29
§ 29.1125   Exhaust heat exchangers.	29
§ 29.1141   Powerplant controls: general.	29
§ 29.1142   Auxiliary power unit controls.	29
§ 29.1143   Engine controls.	29
§ 29.1145   Ignition switches.	29
§ 29.1147   Mixture controls.	29
§ 29.1151   Rotor brake controls.	29
§ 29.1157   Carburetor air temperature controls.	29
§ 29.1159   Supercharger controls.	29
§ 29.1163   Powerplant accessories.	29
§ 29.1165   Engine ignition systems.	29
§ 29.1181   Designated fire zones: regions included.	29
§ 29.1183   Lines, fittings, and components.	29
§ 29.1185   Flammable fluids.	29
§ 29.1187   Drainage and ventilation of fire zones.	29
§ 29.1189   Shutoff means.	29
§ 29.1191   Firewalls.	29
§ 29.1193   Cowling and engine compartment covering.	29
§ 29.1194   Other surfaces.	29
§ 29.1195   Fire extinguishing systems.	29
§ 29.1197   Fire extinguishing agents.	29
§ 29.1199   Extinguishing agent containers.	29
§ 29.1201   Fire extinguishing system materials.	29
§ 29.1203   Fire detector systems.	29
§ 29.1301   Function and installation.	29
§ 29.1303   Flight and navigation instruments.	29
§ 29.1305   Powerplant instruments.	29
§ 29.1307   Miscellaneous equipment.	29
§ 29.1309   Equipment, systems, and installations.	29
§ 29.1316   Electrical and electronic system lightning protection.	29
§ 29.1317   High-intensity Radiated Fields (HIRF) Protection.	29
§ 29.1321   Arrangement and visibility.	29
§ 29.1322   Warning, caution, and advisory lights.	29
§ 29.1323   Airspeed indicating system.	29
§ 29.1325   Static pressure and pressure altimeter systems.	29
§ 29.1327   Magnetic direction indicator.	29
§ 29.1329   Automatic pilot system.	29
§ 29.1331   Instruments using a power supply.	29
§ 29.1333   Instrument systems.	29
§ 29.1335   Flight director systems.	29
§ 29.1337   Powerplant instruments.	29
§ 29.1351   General.	29
§ 29.1353   Electrical equipment and installations.	29
§ 29.1355   Distribution system.	29
§ 29.1357   Circuit protective devices.	29
§ 29.1359   Electrical system fire and smoke protection.	29
§ 29.1363   Electrical system tests.	29
§ 29.1381   Instrument lights.	29
§ 29.1383   Landing lights.	29
§ 29.1385   Position light system installation.	29
§ 29.1387   Position light system dihedral angles.	29
§ 29.1389   Position light distribution and intensities.	29
§ 29.1391   Minimum intensities in the horizontal plane of forward and rear position lights.	29
§ 29.1393   Minimum intensities in any vertical plane of forward and rear position lights.	29
§ 29.1395   Maximum intensities in overlapping beams of forward and rear position lights.	29
§ 29.1397   Color specifications.	29
§ 29.1399   Riding light.	29
§ 29.1401   Anticollision light system.	29
§ 29.1411   General.	29
§ 29.1413   Safety belts: passenger warning device.	29
§ 29.1415   Ditching equipment.	29
§ 29.1419   Ice protection.	29
§ 29.1431   Electronic equipment.	29
§ 29.1433   Vacuum systems.	29
§ 29.1435   Hydraulic systems.	29
§ 29.1439   Protective breathing equipment.	29
§ 29.1457   Cockpit voice recorders.	29
§ 29.1459   Flight data recorders.	29
§ 29.1461   Equipment containing high energy rotors.	29
§ 29.1501   General.	29
§ 29.1503   Airspeed limitations: general.	29
§ 29.1505   Never-exceed speed.	29
§ 29.1509   Rotor speed.	29
§ 29.1517   Limiting height-speed envelope.	29
§ 29.1519   Weight and center of gravity.	29
§ 29.1521   Powerplant limitations.	29
§ 29.1522   Auxiliary power unit limitations.	29
§ 29.1523   Minimum flight crew.	29
§ 29.1525   Kinds of operations.	29
§ 29.1527   Maximum operating altitude.	29
§ 29.1529   Instructions for Continued Airworthiness.	29
§ 29.1541   General.	29
§ 29.1543   Instrument markings: general.	29
§ 29.1545   Airspeed indicator.	29
§ 29.1547   Magnetic direction indicator.	29
§ 29.1549   Powerplant instruments.	29
§ 29.1551   Oil quantity indicator.	29
§ 29.1553   Fuel quantity indicator.	29
§ 29.1555   Control markings.	29
§ 29.1557   Miscellaneous markings and placards.	29
§ 29.1559   Limitations placard.	29
§ 29.1561   Safety equipment.	29
§ 29.1565   Tail rotor.	29
§ 29.1581   General.	29
§ 29.1583   Operating limitations.	29
§ 29.1585   Operating procedures.	29
§ 29.1587   Performance information.	29
§ 29.1589   Loading information.	29
§ 31.1   Applicability.	31
§ 31.12   Proof of compliance.	31
§ 31.14   Weight limits.	31
§ 31.16   Empty weight.	31
§ 31.17   Performance: Climb.	31
§ 31.19   Performance: Uncontrolled descent.	31
§ 31.20   Controllability.	31
§ 31.21   Loads.	31
§ 31.23   Flight load factor.	31
§ 31.25   Factor of safety.	31
§ 31.27   Strength.	31
§ 31.31   General.	31
§ 31.33   Materials.	31
§ 31.35   Fabrication methods.	31
§ 31.37   Fastenings.	31
§ 31.39   Protection.	31
§ 31.41   Inspection provisions.	31
§ 31.43   Fitting factor.	31
§ 31.45   Fuel cells.	31
§ 31.46   Pressurized fuel systems.	31
§ 31.47   Burners.	31
§ 31.49   Control systems.	31
§ 31.51   Ballast.	31
§ 31.53   Drag rope.	31
§ 31.55   Deflation means.	31
§ 31.57   Rip cords.	31
§ 31.59   Trapeze, basket, or other means provided for occupants.	31
§ 31.61   Static discharge.	31
§ 31.63   Safety belts.	31
§ 31.65   Position lights.	31
§ 31.71   Function and installation.	31
§ 31.81   General.	31
§ 31.82   Instructions for Continued Airworthiness.	31
§ 31.83   Conspicuity.	31
§ 31.85   Required basic equipment.	31
§ 33.1   Applicability.	33
§ 33.3   General.	33
§ 33.4   Instructions for Continued Airworthiness.	33
§ 33.5   Instruction manual for installing and operating the engine.	33
§ 33.7   Engine ratings and operating limitations.	33
§ 33.8   Selection of engine power and thrust ratings.	33
§ 33.11   Applicability.	33
§ 33.15   Materials.	33
§ 33.17   Fire protection.	33
§ 33.19   Durability.	33
§ 33.21   Engine cooling.	33
§ 33.23   Engine mounting attachments and structure.	33
§ 33.25   Accessory attachments.	33
§ 33.27   Turbine, compressor, fan, and turbosupercharger rotor overspeed.	33
§ 33.28   Engine control systems.	33
§ 33.29   Instrument connection.	33
§ 33.31   Applicability.	33
§ 33.33   Vibration.	33
§ 33.34   Turbocharger rotors.	33
§ 33.35   Fuel and induction system.	33
§ 33.37   Ignition system.	33
§ 33.39   Lubrication system.	33
§ 33.41   Applicability.	33
§ 33.42   General.	33
§ 33.43   Vibration test.	33
§ 33.45   Calibration tests.	33
§ 33.47   Detonation test.	33
§ 33.49   Endurance test.	33
§ 33.51   Operation test.	33
§ 33.53   Engine system and component tests.	33
§ 33.55   Teardown inspection.	33
§ 33.57   General conduct of block tests.	33
§ 33.61   Applicability.	33
§ 33.62   Stress analysis.	33
§ 33.63   Vibration.	33
§ 33.64   Pressurized engine static parts.	33
§ 33.65   Surge and stall characteristics.	33
§ 33.66   Bleed air system.	33
§ 33.67   Fuel system.	33
§ 33.68   Induction system icing.	33
§ 33.69   Ignitions system.	33
§ 33.70   Engine life-limited parts.	33
§ 33.71   Lubrication system.	33
§ 33.72   Hydraulic actuating systems.	33
§ 33.73   Power or thrust response.	33
§ 33.74   Continued rotation.	33
§ 33.75   Safety analysis.	33
§ 33.76   Bird ingestion.	33
§ 33.77   Foreign object ingestion - ice.	33
§ 33.78   Rain and hail ingestion.	33
§ 33.79   Fuel burning thrust augmentor.	33
§ 33.81   Applicability.	33
§ 33.82   General.	33
§ 33.83   Vibration test.	33
§ 33.84   Engine overtorque test.	33
§ 33.85   Calibration tests.	33
§ 33.87   Endurance test.	33
§ 33.88   Engine overtemperature test.	33
§ 33.89   Operation test.	33
§ 33.90   Initial maintenance inspection test.	33
§ 33.91   Engine system and component tests.	33
§ 33.92   Rotor locking tests.	33
§ 33.93   Teardown inspection.	33
§ 33.94   Blade containment and rotor unbalance tests.	33
§ 33.95   Engine-propeller systems tests.	33
§ 33.96   Engine tests in auxiliary power unit (APU) mode.	33
§ 33.97   Thrust reversers.	33
§ 33.99   General conduct of block tests.	33
§ 33.201   Design and test requirements for Early ETOPS eligibility.	33
§ 34.1   Definitions.	34
§ 34.2   Abbreviations.	34
§ 34.3   General requirements.	34
§ 34.5   Special test procedures.	34
§ 34.6   Aircraft safety.	34
§ 34.7   Exemptions.	34
§ 34.9   Exceptions.	34
§ 34.10   Applicability.	34
§ 34.11   Standard for fuel venting emissions.	34
§ 34.20   Applicability.	34
§ 34.21   Standards for exhaust emissions.	34
§ 34.23   Exhaust Emission Standards for Engines Manufactured on and after July 18, 2012.	34
§ 34.30   Applicability.	34
§ 34.31   Standards for exhaust emissions.	34
§ 34.48   Derivative engines for emissions certification purposes.	34
§ 34.60   Introduction.	34
§ 35.1   Applicability.	35
§ 35.2   Propeller configuration.	35
§ 35.3   Instructions for propeller installation and operation.	35
§ 35.4   Instructions for Continued Airworthiness.	35
§ 35.5   Propeller ratings and operating limitations.	35
§ 35.7   Features and characteristics.	35
§ 35.15   Safety analysis.	35
§ 35.16   Propeller critical parts.	35
§ 35.17   Materials and manufacturing methods.	35
§ 35.19   Durability.	35
§ 35.21   Variable and reversible pitch propellers.	35
§ 35.22   Feathering propellers.	35
§ 35.23   Propeller control system.	35
§ 35.24   Strength.	35
§ 35.33   General.	35
§ 35.34   Inspections, adjustments and repairs.	35
§ 35.35   Centrifugal load tests.	35
§ 35.36   Bird impact.	35
§ 35.37   Fatigue limits and evaluation.	35
§ 35.38   Lightning strike.	35
§ 35.39   Endurance test.	35
§ 35.40   Functional test.	35
§ 35.41   Overspeed and overtorque.	35
§ 35.42   Components of the propeller control system.	35
§ 35.43   Propeller hydraulic components.	35
§ 36.1   Applicability and definitions.	36
§ 36.2   Requirements as of date of application.	36
§ 36.3   Compatibility with airworthiness requirements.	36
§ 36.5   Limitation of part.	36
§ 36.6   Incorporation by reference.	36
§ 36.7   Acoustical change: Transport category large airplanes and jet airplanes.	36
§ 36.9   Acoustical change: Propeller-driven small airplanes and propeller-driven commuter category airplanes.	36
§ 36.11   Acoustical change: Helicopters.	36
§ 36.13   Acoustical change: Tiltrotor aircraft.	36
§ 36.101   Noise measurement and evaluation.	36
§ 36.103   Noise limits.	36
§ 36.105   Flight Manual Statement of Chapter 4 equivalency.	36
§ 36.106   Flight Manual statement of Chapter 14 noise level equivalency.	36
§ 36.301   Noise limits: Concorde.	36
§ 36.501   Noise limits.	36
§ 36.801   Noise measurement.	36
§ 36.803   Noise evaluation and calculation.	36
§ 36.805   Noise limits.	36
§ 36.1101   Noise measurement and evaluation.	36
§ 36.1103   Noise limits.	36
§ 36.1501   Procedures, noise levels and other information.	36
§ 36.1581   Manuals, markings, and placards.	36
§ 36.1583   Noncomplying agricultural and fire fighting airplanes.	36
§ 39.1   Purpose of this regulation.	39
§ 39.3   Definition of airworthiness directives.	39
§ 39.5   When does FAA issue airworthiness directives?	39
§ 39.7   What is the legal effect of failing to comply with an airworthiness directive?	39
§ 39.9   What if I operate an aircraft or use a product that does not meet the requirements of an airworthiness directive?	39
§ 39.11   What actions do airworthiness directives require?	39
§ 39.13   Are airworthiness directives part of the Code of Federal Regulations?	39
§ 39.15   Does an airworthiness directive apply if the product has been changed?	39
§ 39.17   What must I do if a change in a product affects my ability to accomplish the actions required in an airworthiness directive?	39
§ 39.19   May I address the unsafe condition in a way other than that set out in the airworthiness directive?	39
§ 39.21   Where can I get information about FAA-approved alternative methods of compliance?	39
§ 39.23   May I fly my aircraft to a repair facility to do the work required by an airworthiness directive?	39
§ 39.25   How do I get a special flight permit?	39
§ 39.27   What do I do if the airworthiness directive conflicts with the service document on which it is based?	39
§ 43.1   Applicability.	43
§ 43.2   Records of overhaul and rebuilding.	43
§ 43.3   Persons authorized to perform maintenance, preventive maintenance, rebuilding, and alterations.	43
§ 43.5   Approval for return to service after maintenance, preventive maintenance, rebuilding, or alteration.	43
§ 43.7   Persons authorized to approve aircraft, airframes, aircraft engines, propellers, appliances, or component parts for return to service after maintenance, preventive maintenance, rebuilding, or alteration.	43
§ 43.9   Content, form, and disposition of maintenance, preventive maintenance, rebuilding, and alteration records (except inspections performed in accordance with part 91, part 125, § 135.411(a)(1), and § 135.419 of this chapter).	43
§ 43.10   Disposition of life-limited aircraft parts.	43
§ 43.11   Content, form, and disposition of records for inspections conducted under parts 91 and 125 and §§ 135.411(a)(1) and 135.419 of this chapter.	43
§ 43.12   Maintenance records: Falsification, reproduction, or alteration.	43
§ 43.13   Performance rules (general).	43
§ 43.15   Additional performance rules for inspections.	43
§ 43.16   Airworthiness limitations.	43
§ 43.17   Maintenance, preventive maintenance, and alterations performed on U.S. aeronautical products by certain Canadian persons.	43
§ 45.1   Applicability.	45
§ 45.10   Marking.	45
§ 45.11   Marking of products.	45
§ 45.13   Identification data.	45
§ 45.15   Marking requirements for PMA articles, TSO articles, and Critical parts.	45
§ 45.16   Marking of life-limited parts.	45
§ 45.21   General.	45
§ 45.22   Exhibition, antique, and other aircraft: Special rules.	45
§ 45.23   Display of marks; general.	45
§ 45.25   Location of marks on fixed-wing aircraft.	45
§ 45.27   Location of marks; nonfixed-wing aircraft.	45
§ 45.29   Size of marks.	45
§ 45.31   Marking of export aircraft.	45
§ 45.33   Sale of aircraft; removal of marks.	45
§ 47.1   Applicability.	47
§ 47.2   Definitions.	47
§ 47.3   Registration required.	47
§ 47.5   Applicants.	47
§ 47.7   United States citizens and resident aliens.	47
§ 47.8   Voting trusts.	47
§ 47.9   Corporations not U.S. citizens.	47
§ 47.11   Evidence of ownership.	47
§ 47.13   Signatures and instruments made by representatives.	47
§ 47.15   Registration number.	47
§ 47.16   Temporary registration numbers.	47
§ 47.17   Fees.	47
§ 47.19   Registry.	47
§ 47.31   Application.	47
§ 47.33   Aircraft not previously registered anywhere.	47
§ 47.35   Aircraft last previously registered in the United States.	47
§ 47.37   Aircraft last previously registered in a foreign country.	47
§ 47.39   Effective date of registration.	47
§ 47.40   Registration expiration and renewal.	47
§ 47.41   Duration and return of Certificate.	47
§ 47.43   Invalid registration.	47
§ 47.45   Change of address.	47
§ 47.47   Cancellation of Certificate for export purpose.	47
§ 47.49   Replacement of Certificate.	47
