Node	Label
Sec. 19-5   Air transport traffic and capacity elements.	241 
§ 27.611   Inspection provisions.	27 
§ 406.155   Offer of proof.	406 
§ 125.11   Certificate eligibility and prohibited operations.	125 
§ 93.211   Applicability.	93 
§ 1240.112   Presentation of awards.	1240 
§ 125.157   Lines and fittings.	125 
§ 107.67   Knowledge tests: General procedures and passing grades.	107 
§ 13.232   Initial decision.	13 
§ 1221.200   Scope.	1221 
§ 135.439   Maintenance recording requirements.	135 
§ 25.1457   Cockpit voice recorders.	25 
§ 25.1563   Airspeed placard.	25 
§ 107.31   Visual line of sight aircraft operation.	107 
§ 36.1501   Procedures, noise levels and other information.	36 
§ 1212.604   Social security numbers.	1212 
§ 13.204   Appearances and rights of parties.	13 
§ 152.105   Sponsors and planning agencies: Airport planning.	152 
§ 25.33   Propeller speed and pitch limits.	25 
§ 135.417   Mechanical interruption summary report.	135 
§ 431.83   Compliance monitoring.	431 
§ 187.53   Calculation of overflight fees.	187 
§ 158.39   Use of excess PFC revenue.	158 
§ 48.30   Fees.	48 
§ 382.13   Do carriers have to modify policies, practices, and facilities to ensure nondiscrimination?	382 
§ 414.5   Applicability.	414 
§ 25.629   Aeroelastic stability requirements.	25 
§ 11.40   Can I get more information about a rulemaking?	11 
§ 91.1717   Operating requirements.	91 
§ 16.11   General processes.	16 
§ 125.167   Extinguishing agent container compartment temperature.	125 
§ 107.29   Daylight operation.	107 
§ 1263.104   Production, disclosure, or testimony prohibited unless approved.	1263 
§ 25.733   Tires.	25 
§ 61.61   Applicability.	61 
§ 204.1   Purpose.	204 
§ 34.23   Exhaust Emission Standards for Engines Manufactured on and after July 18, 2012.	34 
§ 27.479   Level landing conditions.	27 
§ 323.11   Answers to objections.	323 
§ 125.175   Protection of other airplane components against fire.	125 
§ 135.41   Carriage of narcotic drugs, marihuana, and depressant or stimulant drugs or substances.	135 
§ 1261.400   Scope of subpart.	1261 
§ 158.37   Amendment of approved PFC.	158 
§ 27.1561   Safety equipment.	27 
§ 121.436   Pilot Qualification: Certificates and experience requirements.	121 
§ 135.101   Second in command required under IFR.	135 
§ 27.729   Retracting mechanism.	27 
§ 91.17   Alcohol or drugs.	91 
§ 27.775   Windshields and windows.	27 
§ 25.831   Ventilation.	25 
§ 415.9   Issuance of a launch license.	415 
§ 121.318   Public address system.	121 
§ 437.9   Issuance of an experimental permit.	437 
§ 135.7   Applicability of rules to unauthorized operators.	135 
§ 60.4   Qualification Performance Standards.	60 
§ 1245.116   Miscellaneous provisions.	1245 
§ 25.1585   Operating procedures.	25 
§ 16.21   Pre-complaint resolution.	16 
§ 415.43   Denial of safety approval.	415 
§ 1204.1005   Unauthorized introduction of firearms or weapons, explosives, or other dangerous materials.	1204 
§ 161.409   Required analysis by reevaluation petitioner.	161 
§ 1253.230   Transition plans.	1253 
§ 216.1   Definitions.	216 
§ 93.225   Lottery of available slots.	93 
§ 121.629   Operation in icing conditions.	121 
§ 152.601   Purpose.	152 
§ 29.33   Main rotor speed and pitch limits.	29 
§ 125.207   Emergency equipment requirements.	125 
§ 91.706   Operations within airspace designed as Reduced Vertical Separation Minimum Airspace.	91 
§ 183.61   Records and reports.	183 
§ 252.4   Smoking ban: air carriers.	252 
§ 171.205   Minimum requirements for approval.	171 
§ 1261.602   Definitions.	1261 
§ 1264.129   The hearing and burden of proof.	1264 
§ 137.57   Availability of certificate.	137 
§ 206.1   Emergency transportation.	206 
§ 1215.114   Service rates.	1215 
§ 99.15   Position reports.	99 
§ 135.98   Operations in the North Polar Area.	135 
§ 29.779   Motion and effect of cockpit controls.	29 
§ 200.2   Instructions.	200 
§ 385.6   Referral to the Reviewing Official.	385 
§ 91.173   ATC clearance and flight plan required.	91 
§ 298.90   Prohibited unfair or deceptive practices or unfair methods of competition.	298 
§ 141.57   Special curricula.	141 
§ 1250.105   Compliance information.	1250 
§ 1215.105   Delivery of user data.	1215 
§ 1251.400   Compliance Procedures.	1251 
§ 25.941   Inlet, engine, and exhaust compatibility.	25 
§ 380.46   Charter trip reporting.	Appendix A to Part 380 
§ 1264.128   Sanctions.	1264 
§ 372.30   Application.	372 
§ 25.1331   Instruments using a power supply.	25 
§ 25.527   Hull and main float load factors.	25 
§ 121.607   Communication and navigation facilities: Domestic and flag operations.	121 
§ 29.1529   Instructions for Continued Airworthiness.	29 
§ 298.4   Requests for statement of authority.	298 
§ 29.337   Limit maneuvering load factor.	29 
§ 137.21   Duration of certificate.	137 
§ 25.391   Control surface loads: General.	25 
§ 25.971   Fuel tank sump.	25 
§ 1216.303   NEPA process in NASA planning and decision making.	1216 
§ 460.19   Crew waiver of claims against U.S. Government.	460 
§ 21.71   Applicability.	21 
§ 27.993   Fuel system lines and fittings.	27 
§ 99.7   Special security instructions.	99 
§ 135.1   Applicability.	135 
§ 63.13   Temporary certificate.	63 
§ 1253.525   Fringe benefits.	1253 
§ 1212.203   Disclosures.	1212 
§ 1216.301   Applicability.	1216 
§ 121.243   Engine breather lines.	121 
§ 147.11   Ratings.	147 
§ 29.1389   Position light distribution and intensities.	29 
§ 250.1   Definitions.	250 
§ 93.97   Operations in the SFRA.	93 
§ 27.171   Stability: general.	27 
§ 29.773   Pilot compartment view.	29 
§ 295.20   Use of duly authorized direct air carriers.	295 
§ 139.339   Airport condition reporting.	139 
§ 25.1333   Instrument systems.	25 
§ 121.233   Fuel lines and fittings in designated fire zones.	121 
Sec. 2-2   Basis of allocation between entities.	241 
§ 71.33   Class A airspace areas.	71 
§ 1261.313   Required notification in the event of denial.	1261 
§ 234.10   Voluntary disclosure of on-time performance codes.	234 
§ 91.137   Temporary flight restrictions in the vicinity of disaster/hazard areas.	91 
§ 29.1307   Miscellaneous equipment.	29 
§ 29.811   Emergency exit marking.	29 
§ 1252.406   Hearings.	1252 
§ 63.59   Retesting after failure.	63 
§ 135.269   Flight time limitations and rest requirements: Unscheduled three- and four-pilot crews.	135 
§ 121.645   Fuel supply: Turbine-engine powered airplanes, other than turbo propeller: Flag and supplemental operations.	121 
§ 325.10   Modification of the designated level of essential air service.	325 
§ 29.173   Static longitudinal stability.	29 
§ 161.101   Scope.	161 
§ 150.3   Applicability.	150 
§ 1261.505   Multiple debts.	1261 
§ 16.305   Requirement to show cause and imposition of sanction.	16 
§ 382.153   What actions do CROs take on complaints?	382 
§ 125.405   Disposition of load manifest, flight release, and flight plans.	125 
§ 1274.510   Subcontracts.	1274 
§ 31.45   Fuel cells.	31 
§ 135.73   Inspections and tests.	135 
§ 23.2225   Component loading conditions.	23 
§ 183.27   Designated aircraft maintenance inspectors.	183 
§ 91.1015   Management specifications.	91 
§ 135.299   Pilot in command: Line checks: Routes and airports.	135 
§ 91.9   Civil aircraft flight manual, marking, and placard requirements.	91 
§ 1259.301   Identification of national needs.	1259 
§ 1271.210   Reporting.	1271 
§ 135.437   Authority to perform and approve maintenance, preventive maintenance, and alterations.	135 
§ 460.15   Human factors.	460 
§ 171.3   Requests for IFR procedure.	171 
§ 121.667   Flight plan: VFR and IFR: Supplemental operations.	121 
§ 298.60   General reporting instructions.	298 
§ 121.265   Fire-extinguishing agents.	121 
§ 1261.107   Evidence in support of claim.	1261 
§ 1300.21   Guarantee.	1300 
§ 1204.1000   Scope of subpart.	1204 
§ 25.854   Lavatory fire protection.	25 
§ 1264.111   Notice of hearing.	1264 
§ 61.159   Aeronautical experience: Airplane category rating.	61 
§ 271.7   Subsidy payout formula.	271 
§ 415.133   Safety at end of launch.	415 
§ 33.73   Power or thrust response.	33 
§ 135.227   Icing conditions: Operating limitations.	135 
§ 1206.702   Litigation.	1206 
§ 125.377   Fuel supply: Turbine-engine-powered airplanes other than turbopropeller.	125 
§ 431.33   Safety organization.	431 
§ 13.55   Notice of hearing.	13 
§ 119.37   Contents of an Air Carrier Certificate or Operating Certificate.	119 
§ 158.65   Reporting requirements: Collecting air carriers.	158 
§ 249.21   Preservation of records by public charter operators and overseas military personnel charter operators.	249 
§ 1259.501   Responsibilities.	1259 
§ 161.7   Limitations.	161 
§ 1203.201   Information security objectives.	1203 
§ 25.1307   Miscellaneous equipment.	25 
§ 13.216   Waivers.	13 
§ 135.229   Airport requirements.	135 
§ 61.25   Change of name.	61 
§ 305.11   Procedures after investigation.	305 
§ 404.11   Action on a petition for rulemaking.	404 
§ 129.22   Communication and navigation equipment for rotorcraft operations under VFR over routes navigated by pilotage.	129 
§ 61.13   Issuance of airman certificates, ratings, and authorizations.	61 
§ 25.1445   Equipment standards for the oxygen distributing system.	25 
§ 133.43   Structures and design.	133 
§ 302.303   Contents of applications.	302 
§ 39.13   Are airworthiness directives part of the Code of Federal Regulations?	39 
§ 91.1021   Internal safety reporting and incident/accident response.	91 
§ 1300.3   Supplementary regulations of the Air Transportation Stabilization Board.	1300 
§ 380.62   Registration applications.	Appendix A to Part 380 
§ 375.40   Permits for commercial air operations.	375 
§ 34.6   Aircraft safety.	34 
§ 203.1   Scope.	203 
§ 413.1   Scope of this part.	413 
§ 27.1521   Powerplant limitations.	27 
§ 13.11   Administrative disposition of certain violations.	13 
§ 413.9   Confidentiality.	413 
§ 1215.101   Scope.	1215 
§ 145.53   Issue of certificate.	145 
§ 183.21   Aviation Medical Examiners.	183 
§ 234.4   Reporting of on-time performance.	234 
§ 302.724   Petitions for reconsideration.	302 
§ 29.1413   Safety belts: passenger warning device.	29 
§ 161.109   Notice of termination of restriction pursuant to an agreement.	161 
§ 1261.102   Maximum amount.	1261 
§ 47.16   Temporary registration numbers.	47 
§ 25.607   Fasteners.	25 
§ 121.541   Operations schedules: Domestic and flag operations.	121 
§ 11.5   What is a notice of proposed rulemaking?	11 
§ 187.7   Copies; seal.	187 
§ 271.9   Discrimination prohibited.	271 
§ 1209.304   Membership.	1209 
§ 1204.509   Delegation of authority to take action regarding “liquidated damage” assessments under the Contract Work Hours and Safety Standards Act, and associated labor statutes.	1204 
§ 25.343   Design fuel and oil loads.	25 
§ 382.71   What other aircraft accessibility requirements apply to carriers?	382 
§ 187.1   Scope.	187 
§ 1213.105   Interviews.	1213 
§ 121.323   Instruments and equipment for operations at night.	121 
§ 156.4   Airport and project eligibility.	156 
§ 91.523   Carry-on baggage.	91 
§ 221.54   Fares stated in percentages of other fares; other relationships prohibited.	221 
§ 157.7   FAA determinations.	157 
§ 16.221   Witness fees.	16 
§ 25.812   Emergency lighting.	25 
§ 414.3   Definitions.	414 
§ 121.493   Flight time limitations: Flight engineers and flight navigators.	121 
§ 135.291   Applicability.	135 
§ 91.109   Flight instruction; Simulated instrument flight and certain flight tests.	91 
§ 1213.107   Preventing unauthorized release of sensitive but unclassified (SBU) information/material to the news media.	1213 
§ 417.203   Compliance.	417 
§ 27.1367   Switches.	27 
§ 23.2250   Design and construction principles.	23 
§ 29.977   Fuel tank outlet.	29 
§ 217.7   Certification.	217 
§ 125.363   Flight release over water.	125 
§ 158.67   Recordkeeping and auditing: Public agency.	158 
§ 1214.403   Code of Conduct for the International Space Station Crew.	1214 
§ 95.17   Alaska Mountainous Area.	95 
§ 29.757   Hull and auxiliary float strength.	29 
§ 13.35   Request for hearing.	13 
§ 91.1605   Special Federal Aviation Regulation No. 77 - Prohibition Against Certain Flights in the Baghdad Flight Information Region (FIR) (ORBB).	91 
§ 302.301   Applicability.	302 
§ 161.113   Effect of agreements; limitation on reevaluation.	161 
§ 5.55   Safety risk assessment and control.	5 
§ 21.7   Continued airworthiness and safety improvements for transport category airplanes.	21 
§ 294.31   Use of business name.	294 
§ 125.375   Fuel supply: Nonturbine and turbopropeller-powered airplanes.	125 
§ 302.709   Scope of conferences.	302 
§ 151.5   General policies.	151 
§ 47.8   Voting trusts.	47 
§ 1214.604   Personal Preference Kit.	1214 
§ 216.3   Prohibition.	216 
§ 1201.101   Purpose.	1201 
§ 27.1322   Warning, caution, and advisory lights.	27 
§ 183.55   Limitations.	183 
§ 1240.106   Review and evaluation of contribution.	1240 
§ 294.40   Aircraft accident liability insurance requirements.	294 
§ 1259.402   Basic criteria and application procedures.	1259 
§ 105.15   Information required and notice of cancellation or postponement of a parachute operation.	105 
§ 25.735   Brakes and braking systems.	25 
§ 91.145   Management of aircraft operations in the vicinity of aerial demonstrations and major sporting events.	91 
§ 119.39   Issuing or denying a certificate.	119 
§ 107.3   Definitions.	107 
§ 121.311   Seats, safety belts, and shoulder harnesses.	121 
§ 440.11   Duration of coverage for licensed launch, including suborbital launch, or permitted activities; modifications.	440 
§ 119.23   Operators engaged in passenger-carrying operations, cargo operations, or both with airplanes when common carriage is not involved.	119 
§ 1203.604   Mandatory review for declassification.	1203 
§ 437.39   Flight rules.	437 
Section 14   Objective Classification - Nonoperating Income and Expense	241 
§ 25.1192   Engine accessory section diaphragm.	25 
§ 221.164   Concurrences or powers of attorney to be reissued.	221 
§ 431.5   Policy and safety approvals.	431 
§ 49.41   Applicability.	49 
§ 135.12   Previously trained crewmembers.	135 
§ 385.4   Form of staff action.	385 
§ 258.1   Purpose.	258 
§ 29.521   Float landing conditions.	29 
§ 221.90   Required notice.	221 
§ 417.411   Safety clear zones for hazardous operations.	417 
§ 25.1091   Air induction.	25 
§ 107.64   Temporary certificate.	107 
§ 21.132   Eligibility.	21 
§ 63.31   Eligibility requirements; general.	63 
§ 152.609   Energy conservation practices.	152 
§ 302.502   Institution of proceedings.	302 
§ 63.16   Change of name; replacement of lost or destroyed certificate.	63 
§ 249.4   Photographic copies.	249 
§ 91.1071   Crewmember: Tests and checks, grace provisions, training to accepted standards.	91 
§ 25.119   Landing climb: All-engines-operating.	25 
§ 27.151   Flight controls.	27 
§ 27.161   Trim control.	27 
§ 1214.400   Scope.	1214 
§ 125.297   Approval of flight simulators and flight training devices.	125 
§ 121.1007   Hazardous materials training records.	121 
§ 60.25   Operation with missing, malfunctioning, or inoperative components.	60 
§ 121.609   Communication and navigation facilities: Supplemental operations.	121 
§ 25.771   Pilot compartment.	25 
§ 121.319   Crewmember interphone system.	121 
§ 152.605   Definitions.	152 
§ 121.903   General requirements for Advanced Qualification Programs.	121 
§ 29.1141   Powerplant controls: general.	29 
§ 215.4   Change of name or use of trade name.	215 
§ 150.21   Noise exposure maps and related descriptions.	150 
§ 93.311   Minimum terrain clearance.	93 
§ 158.11   Public agency request not to require collection of PFC's by a class of air carriers or foreign air carriers or for service to isolated communities.	158 
§ 27.1329   Automatic pilot system.	27 
§ 1261.502   Notification procedures.	1261 
§ 435.23   Policy review requirements and procedures.	435 
§ 61.17   Temporary certificate.	61 
§ 91.1002   Compliance date.	91 
§ 121.189   Airplanes: Turbine engine powered: Takeoff limitations.	121 
§ 29.865   External loads.	29 
§ 25.1431   Electronic equipment.	25 
§ 65.57   Experience or training requirements.	65 
§ 161.311   Application procedure for approval of proposed restriction.	161 
§ 33.88   Engine overtemperature test.	33 
§ 1215.100   General.	1215 
§ 125.183   Carriage of cargo in passenger compartments.	125 
§ 33.42   General.	33 
§ 27.1585   Operating procedures.	27 
§ 27.1389   Position light distribution and intensities.	27 
§ 63.35   Knowledge requirements.	63 
§ 91.701   Applicability.	91 
§ 302.3   Filing of documents.	302 
